NDC2,GENERIC_NAME,BRAND_NAME,CHEMOCAT2,CHEMO_TYPE,STUDY_DRUG,TREATMENT_TYPE,CHEMOTHERAPY,DATE_ADDED
00603211532,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
16714004112,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,7/17/2015
49884060201,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
49884060210,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
53489015601,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
53489015610,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
60505251602,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00044041005,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00182148210,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00364063301,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00364063305,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00378018101,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00378018105,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00524041001,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00536302810,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00591554401,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00591554405,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00603211628,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00603211632,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00677087105,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00677087110,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
49884010501,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
49884060301,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
49884060305,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
53489015701,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
53489015705,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
53489015710,ALLOPURINOL,ALLOPURINOL TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
00081099675,ALLOPURINOL,ZYLOPRIM 100MG TABLET,ALLOPURINOL,O,0,O,N,6/16/2014
00081099870,ALLOPURINOL,ZYLOPRIM 300MG TABLET,ALLOPURINOL,O,0,O,N,6/16/2014
00173099855,ALLOPURINOL,ZYLOPRIM TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
60976099855,ALLOPURINOL,ZYLOPRIM TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
65483099310,ALLOPURINOL,ZYLOPRIM TAB 300MG,ALLOPURINOL,O,0,O,N,6/16/2014
49452000803,Allopurinol (Bulk) Powder,ALLOPURINOL,ALLOPURINOL,O,0,O,N,4/10/2017
49452000801,ALLOPURINOL (BULK) POWDER,ALLOPURINOL (BULK) MISC POWD,ALLOPURINOL,O,0,O,N,7/17/2015
49452000802,ALLOPURINOL (BULK) POWDER,ALLOPURINOL (BULK) MISC POWD,ALLOPURINOL,O,0,O,N,7/17/2015
51927191500,ALLOPURINOL (BULK) POWDER,ALLOPURINOL (BULK) MISC POWD,ALLOPURINOL,O,0,O,N,7/17/2015
99999060401,ALLOPURINOL 1 MG/5 ML ORAL SUSP SUGAR FREE,ALLOPURINOL 1 MG/5 ML ORAL SUSP SUGAR FREE,ALLOPURINOL,O,0,O,N,7/17/2015
99999060601,ALLOPURINOL 10 MG/5 ML ORAL SUSP SUGAR FREE,ALLOPURINOL 10 MG/5 ML ORAL SUSP SUGAR FREE,ALLOPURINOL,O,0,O,N,7/17/2015
99999085401,ALLOPURINOL 10 MG/ML ORAL SUSP,ALLOPURINOL 10 MG/ML ORAL SUSP,ALLOPURINOL,O,0,O,N,7/17/2015
99999085501,ALLOPURINOL 10 MG/ML ORAL SUSP SUGAR FREE,ALLOPURINOL 10 MG/ML ORAL SUSP SUGAR FREE,ALLOPURINOL,O,0,O,N,7/17/2015
00603211502,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
00603211504,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
00603211593,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
00904626661,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004101,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004104,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004106,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004107,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004110,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16729013401,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695083630,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695083642,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695083660,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695083690,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
33358001200,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
35356085630,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
35356085660,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
35356085690,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
43063007920,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
43063007930,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
49999037430,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020501,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020517,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020519,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020520,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
52959047300,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
52959047330,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54569023303,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007500,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007503,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007504,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007505,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55111072901,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55111072910,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094100,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094112,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094120,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094130,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018001,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018010,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018018,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018090,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60505251603,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60760011430,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
62584098801,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
62584098811,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63304053901,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63304053910,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63629167501,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63629167502,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63629167503,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63629167504,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
65243030509,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
67544098830,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
67544098860,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
67544098880,ALLOPURINOL 100 MG TABLET,ALLOPURINOL 100 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
99999069501,ALLOPURINOL 20 MG/ML ORAL SUSP,ALLOPURINOL 20 MG/ML ORAL SUSP,ALLOPURINOL,O,0,O,N,7/17/2015
99999069601,ALLOPURINOL 20 MG/ML ORAL SUSP SUGAR FREE,ALLOPURINOL 20 MG/ML ORAL SUSP SUGAR FREE,ALLOPURINOL,O,0,O,N,7/17/2015
00603211602,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004201,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004204,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004205,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004207,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004210,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16714004211,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16729013501,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
16729013516,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695024630,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695024660,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695024678,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
21695024690,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
23490503101,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
23490503103,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
33358001360,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
49999024503,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
49999024530,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020601,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020617,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020619,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
51079020620,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
52959031100,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54569023500,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54569023501,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54569023503,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007602,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007603,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007606,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007607,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
54868007608,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55111073001,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55111073005,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55289001001,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55289001003,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55289001030,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55289001090,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
55700003530,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094200,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
58016094230,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429001430,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429001490,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018101,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018105,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60429018190,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60505251702,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
60505251703,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
62584071301,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
62584071311,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
63304054001,ALLOPURINOL 300 MG TABLET,ALLOPURINOL 300 MG ORAL TAB,ALLOPURINOL,O,0,O,N,7/17/2015
